reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
10ea7bda-d333-4f17-b234-06314242a942,Muhamad Fauzi,https://play-lh.googleusercontent.com/a-/ALV-UjUqsaK2sg0RemJ8nJZ7KuxM0OaAIJeld1D0FL91P41cW8hoPK1T,"paket di keterangan udh sampai, tapi belum di terima mana nama yg terima paketnya ga kenal pula",1,0,,2025-06-05 11:00:57,,,
66de0e8c-37a4-4283-a517-6c734ed5c125,project sim,https://play-lh.googleusercontent.com/a/ACg8ocJWkOwrzqcbUCJll2Kj_v9vpC634r5PmQO_vMJc5OKbNa_-kg=mo,"GAK KURIR NYA, GAK CS NYA, SEMUA PARAH PERLAYANAN NYA, ANGKA RETUR TINGGI KARNA KINERJA KURIR SEENAKNYA SENDIRI, TIDAK ADA KONFIRMASI DAHULU KE PENERIMA, BAHKAN UANG COD SERING DI PAKAI DULU OLEH KURIR, PADAHAL PAKET SUDAH DI TERIMA. BUMN EMANG BIBROK!! MENDING SWASTA",1,0,1.13.0,2025-06-05 06:28:39,,,1.13.0
2be055da-e368-4354-8237-84e0530979b4,salman khoirulloh,https://play-lh.googleusercontent.com/a-/ALV-UjXUiC9EriuV0nSA0RtKL273FgFZ7LaXuVh70j5tly7TK8hFbsxZ,"pengiriman ngga jelas,mending kelain aja yang pasti",1,0,1.13.0,2025-06-04 08:28:25,,,1.13.0
4c7a0f9a-d82b-4bb9-ab96-c3ba99cda64a,miku faris,https://play-lh.googleusercontent.com/a/ACg8ocIl2kcEYr7lLJ6qLSGrmUmtHXX0wldrG3S7tmsgxU5Z-Pt7cg=mo,"setiap akan order paket, eror terus",1,0,,2025-06-02 23:56:28,,,
e2bd2598-5db4-4fe7-9ed1-c678e100b727,Paijo paijan,https://play-lh.googleusercontent.com/a-/ALV-UjX1Y2UC67Wxquxq52Hejwjp3KXNHH3WSTqowe56w_MHuSD6wJL7,lamban..rusak,1,0,1.13.0,2025-06-02 21:21:53,,,1.13.0
0e85b49e-716b-4b8a-9159-d20d6015e96d,Maman Maman,https://play-lh.googleusercontent.com/a-/ALV-UjX05bxJbzpqLPLZaoA_BYCaQuvItgIa_kTXQuDGje0PKH9lOyT3,"akun pengiriman aja,sulit di akses masuk aja susah,lho mau duit engga mau akses aja susah",1,0,1.13.0,2025-05-31 10:49:40,,,1.13.0
563cec01-9d83-4a43-af67-ff1657bbfc1e,Mood Baik,https://play-lh.googleusercontent.com/a/ACg8ocIpipT3vsOK-9_WqIQcK5Z6Xf1g9SFj0ToiCdA4eUcS-uw2_A=mo,nyobain pengiriman pos di shopee ternyata luama pantes kalah saing dengan ekspedisi lain,1,0,,2025-05-31 08:44:31,,,
415218cc-49f2-4225-ae0f-b44873c13451,Putra Manado,https://play-lh.googleusercontent.com/a-/ALV-UjV9Lf0wGpIik9EMEtmb-dQ3_qKQeptU1MExSy9xCppTBNQRVZMx,"Biaya pengiriman sangat mahal dr aplikasi se jenis. estimasi pengiriman 4 hari tpi sdah 1 mnggu brang belum di antar, nnti ambil sendiri di drop poin. Pake Jnt di tujuan yg sama dr jnt byarannya 56rb tp pake pos aja biayanya 148rb. 😥😥😥😥😥",1,0,1.13.0,2025-05-31 04:51:43,,,1.13.0
adec437e-7e4b-4a31-9ad1-b12732550ae8,Muhamad Denda,https://play-lh.googleusercontent.com/a/ACg8ocK4OqlqTHwIHJ5QAadhtP-KjIoQHXCPs8X-Zk22c7jRJv8y1w=mo,"coba tolong di perbaiki dari sistemnya jasa ekspedisi paling tua harusnya paling maju malah bobrok.. paket dokument penting ga sampe sampe kerumah.. dengan alasan yg ""bersangkutan tidak berhasil di kirim yg bersangkutan tidak di kenal"" satu kampung kenal gua.. itu kurir ngirimnya kemana.. payah kalah sama ekspedisi lain",1,2,1.13.0,2025-05-30 04:06:17,,,1.13.0
b9f2060b-dd73-4e90-aad4-af174c845812,BADRUS SHOLEH,https://play-lh.googleusercontent.com/a-/ALV-UjXw6HgEHmlSWlZFRTSgoTfO6qSzYt4UQYv-EfPGdRI6TlcyhNQN,buruk,1,0,1.13.0,2025-05-27 07:02:25,,,1.13.0
